iter	Passed	Remaining
0	15	15102
1	17	8706
2	19	6461
3	22	5553
4	25	5091
5	28	4670
6	30	4385
7	33	4141
8	35	3897
9	37	3730
10	43	3905
11	45	3785
12	49	3776
13	51	3650
14	55	3665
15	58	3604
16	61	3543
17	63	3440
18	65	3365
19	67	3305
20	71	3354
21	74	3319
22	76	3259
23	78	3193
24	80	3130
25	86	3237
26	89	3228
27	92	3202
28	94	3155
29	96	3117
30	101	3165
31	103	3131
32	105	3098
33	109	3097
34	111	3082
35	114	3070
36	116	3043
37	118	3007
38	121	2982
39	124	2976
40	126	2966
41	129	2951
42	131	2927
43	133	2904
44	135	2884
45	138	2862
46	141	2867
47	143	2854
48	145	2831
49	147	2803
50	149	2776
51	150	2750
52	152	2725
53	155	2722
54	157	2712
55	159	2693
56	161	2670
57	163	2649
58	164	2628
59	166	2608
60	168	2593
61	171	2592
62	173	2582
63	175	2566
64	177	2550
65	179	2534
66	180	2517
67	182	2507
68	185	2499
69	187	2489
70	189	2476
71	191	2469
72	193	2461
73	195	2452
74	198	2446
75	200	2443
76	203	2435
77	205	2424
78	207	2415
79	210	2423
80	213	2419
81	215	2416
82	217	2400
83	219	2392
84	221	2382
85	223	2375
86	225	2365
87	227	2361
88	230	2354
89	231	2345
90	233	2335
91	235	2324
92	237	2316
93	239	2305
94	240	2294
95	243	2291
96	245	2286
97	247	2276
98	249	2267
99	250	2258
100	252	2247
101	254	2238
102	256	2232
103	258	2228
104	260	2222
105	262	2213
106	264	2205
107	265	2196
108	267	2187
109	269	2179
110	271	2175
111	273	2171
112	275	2165
113	277	2159
114	279	2154
115	281	2148
116	283	2140
117	285	2135
118	287	2131
119	290	2127
120	292	2123
121	294	2116
122	296	2112
123	298	2106
124	300	2102
125	303	2101
126	305	2098
127	307	2093
128	309	2089
129	311	2085
130	314	2083
131	316	2083
132	319	2081
133	321	2075
134	323	2069
135	324	2062
136	326	2055
137	328	2049
138	330	2045
139	332	2040
140	333	2034
141	335	2024
142	337	2021
143	339	2017
144	341	2012
145	343	2008
146	346	2010
147	348	2007
148	350	2001
149	352	1995
150	353	1989
151	355	1983
152	357	1979
153	361	1985
154	363	1983
155	366	1980
156	368	1977
157	370	1973
158	373	1978
159	376	1975
160	378	1972
161	380	1969
162	382	1965
163	384	1961
164	387	1960
165	389	1958
166	391	1954
167	393	1949
168	395	1943
169	397	1938
170	398	1932
171	400	1928
172	402	1925
173	405	1923
174	406	1918
175	408	1913
176	410	1907
177	411	1902
178	413	1897
179	415	1893
180	417	1891
181	419	1887
182	421	1883
183	423	1878
184	425	1872
185	426	1867
186	428	1863
187	430	1860
188	432	1857
189	434	1854
190	436	1849
191	438	1844
192	440	1840
193	441	1836
194	443	1831
195	445	1829
196	448	1827
197	450	1823
198	451	1818
199	453	1814
200	455	1811
201	457	1807
202	459	1804
203	462	1804
204	464	1801
205	466	1796
206	468	1795
207	470	1792
208	472	1788
209	474	1785
210	476	1782
211	478	1779
212	480	1776
213	482	1773
214	484	1769
215	486	1765
216	488	1762
217	490	1760
218	492	1757
219	494	1754
220	496	1751
221	498	1748
222	500	1744
223	502	1740
224	504	1738
225	506	1735
226	509	1734
227	511	1730
228	512	1726
229	514	1722
230	516	1718
231	518	1715
232	520	1714
233	522	1711
234	524	1707
235	526	1703
236	527	1699
237	529	1695
238	531	1692
239	533	1690
240	536	1691
241	539	1688
242	540	1684
243	542	1680
244	544	1677
245	546	1674
246	548	1673
247	551	1671
248	553	1668
249	555	1665
250	557	1663
251	559	1661
252	562	1661
253	564	1658
254	566	1655
255	568	1652
256	570	1650
257	572	1646
258	574	1643
259	576	1641
260	579	1639
261	581	1636
262	582	1633
263	584	1629
264	586	1625
265	587	1621
266	590	1620
267	592	1618
268	594	1616
269	596	1612
270	598	1608
271	599	1604
272	601	1601
273	603	1598
274	605	1597
275	608	1595
276	610	1592
277	611	1589
278	613	1585
279	615	1582
280	617	1580
281	619	1577
282	621	1575
283	623	1572
284	625	1569
285	627	1565
286	628	1562
287	630	1559
288	632	1556
289	634	1554
290	637	1552
291	638	1549
292	640	1545
293	642	1542
294	643	1538
295	646	1536
296	648	1534
297	650	1532
298	652	1529
299	654	1527
300	656	1524
301	658	1522
302	660	1519
303	662	1517
304	665	1515
305	667	1513
306	669	1510
307	670	1506
308	672	1504
309	674	1501
310	676	1498
311	678	1495
312	680	1493
313	682	1491
314	684	1487
315	685	1484
316	688	1482
317	689	1479
318	691	1476
319	693	1474
320	695	1472
321	697	1469
322	699	1466
323	701	1463
324	703	1460
325	704	1457
326	706	1454
327	709	1452
328	711	1450
329	713	1447
330	714	1444
331	716	1441
332	718	1438
333	719	1435
334	722	1433
335	724	1431
336	727	1430
337	729	1428
338	731	1425
339	733	1423
340	735	1421
341	737	1419
342	740	1418
343	742	1416
344	744	1413
345	746	1410
346	748	1407
347	749	1405
348	752	1403
349	754	1401
350	757	1399
351	759	1397
352	761	1395
353	763	1392
354	765	1390
355	767	1389
356	769	1386
357	771	1383
358	773	1380
359	775	1378
360	776	1375
361	778	1372
362	781	1371
363	783	1369
364	785	1366
365	787	1363
366	789	1360
367	790	1357
368	792	1354
369	794	1352
370	797	1351
371	799	1349
372	801	1346
373	802	1343
374	804	1340
375	806	1337
376	807	1334
377	810	1333
378	812	1331
379	814	1328
380	815	1325
381	817	1322
382	819	1319
383	820	1316
384	822	1313
385	825	1312
386	827	1310
387	829	1308
388	831	1305
389	832	1302
390	834	1299
391	836	1297
392	838	1295
393	841	1294
394	843	1291
395	845	1289
396	847	1286
397	849	1284
398	851	1282
399	853	1280
400	855	1278
401	857	1275
402	859	1273
403	860	1270
404	862	1267
405	864	1265
406	866	1263
407	869	1261
408	871	1259
409	872	1256
410	874	1253
411	876	1250
412	878	1248
413	879	1245
414	882	1243
415	884	1241
416	886	1239
417	887	1236
418	889	1233
419	891	1231
420	893	1228
421	895	1225
422	897	1223
423	899	1221
424	901	1219
425	903	1216
426	904	1214
427	906	1211
428	908	1209
429	910	1206
430	912	1204
431	914	1202
432	916	1200
433	918	1197
434	920	1195
435	922	1193
436	924	1190
437	926	1188
438	928	1186
439	930	1184
440	932	1181
441	934	1179
442	935	1176
443	937	1174
444	939	1171
445	941	1168
446	943	1166
447	945	1164
448	947	1162
449	949	1160
450	951	1157
451	953	1156
452	956	1155
453	958	1153
454	961	1151
455	963	1149
456	965	1147
457	967	1144
458	969	1143
459	972	1142
460	975	1140
461	977	1137
462	979	1135
463	981	1133
464	983	1131
465	985	1129
466	987	1127
467	989	1124
468	991	1122
469	993	1119
470	994	1117
471	996	1114
472	998	1112
473	1001	1110
474	1002	1108
475	1004	1105
476	1006	1103
477	1007	1100
478	1009	1098
479	1011	1095
480	1014	1094
481	1016	1092
482	1018	1090
483	1020	1087
484	1021	1085
485	1023	1082
486	1025	1079
487	1026	1077
488	1029	1075
489	1031	1073
490	1033	1071
491	1035	1068
492	1037	1066
493	1039	1064
494	1041	1062
495	1043	1060
496	1045	1058
497	1047	1055
498	1049	1053
499	1050	1050
500	1052	1048
501	1054	1045
502	1056	1043
503	1058	1041
504	1060	1039
505	1062	1037
506	1064	1035
507	1066	1032
508	1067	1030
509	1069	1027
510	1072	1025
511	1074	1024
512	1076	1022
513	1078	1019
514	1080	1017
515	1082	1015
516	1085	1013
517	1088	1012
518	1091	1011
519	1094	1009
520	1098	1009
521	1101	1008
522	1105	1008
523	1107	1006
524	1109	1004
525	1114	1003
526	1117	1003
527	1120	1001
528	1122	999
529	1124	997
530	1126	995
531	1129	993
532	1131	991
533	1133	989
534	1135	986
535	1136	984
536	1138	981
537	1140	979
538	1142	976
539	1144	974
540	1146	972
541	1148	970
542	1150	968
543	1152	965
544	1153	963
545	1155	960
546	1157	958
547	1159	956
548	1161	954
549	1163	951
550	1165	949
551	1167	947
552	1169	945
553	1170	942
554	1172	940
555	1174	937
556	1176	936
557	1178	933
558	1180	931
559	1182	929
560	1184	926
561	1185	924
562	1187	921
563	1189	919
564	1191	917
565	1193	915
566	1197	914
567	1199	912
568	1200	909
569	1203	907
570	1205	905
571	1207	903
572	1209	901
573	1211	899
574	1213	896
575	1214	894
576	1216	891
577	1218	889
578	1221	887
579	1223	885
580	1225	883
581	1227	881
582	1229	879
583	1231	877
584	1234	875
585	1236	873
586	1238	871
587	1240	869
588	1242	866
589	1243	864
590	1245	862
591	1248	860
592	1250	858
593	1252	855
594	1253	853
595	1255	851
596	1257	848
597	1258	846
598	1260	844
599	1263	842
600	1265	840
601	1267	837
602	1268	835
603	1270	832
604	1272	830
605	1273	828
606	1276	826
607	1278	824
608	1280	822
609	1282	819
610	1283	817
611	1285	815
612	1287	812
613	1288	810
614	1291	808
615	1293	806
616	1295	804
617	1297	801
618	1298	799
619	1300	797
620	1302	794
621	1303	792
622	1306	790
623	1308	788
624	1310	786
625	1312	784
626	1314	782
627	1317	780
628	1319	778
629	1321	776
630	1323	774
631	1325	771
632	1327	769
633	1328	767
634	1330	764
635	1332	762
636	1334	760
637	1336	758
638	1338	756
639	1340	753
640	1341	751
641	1343	749
642	1345	746
643	1347	744
644	1349	742
645	1351	740
646	1353	738
647	1355	736
648	1356	733
649	1358	731
650	1360	729
651	1361	726
652	1364	724
653	1366	722
654	1368	720
655	1369	718
656	1371	715
657	1372	713
658	1374	711
659	1376	709
660	1379	707
661	1381	705
662	1382	702
663	1384	700
664	1386	698
665	1387	695
666	1389	693
667	1391	691
668	1394	689
669	1396	687
670	1398	685
671	1399	683
672	1402	681
673	1404	679
674	1406	677
675	1408	675
676	1410	672
677	1412	670
678	1413	668
679	1415	666
680	1417	664
681	1419	661
682	1422	660
683	1424	657
684	1426	655
685	1428	653
686	1429	651
687	1431	649
688	1433	647
689	1436	645
690	1438	643
691	1440	641
692	1442	638
693	1443	636
694	1445	634
695	1447	632
696	1449	629
697	1451	628
698	1453	625
699	1455	623
700	1457	621
701	1459	619
702	1461	617
703	1463	615
704	1467	613
705	1469	611
706	1471	609
707	1473	607
708	1475	605
709	1477	603
710	1479	601
711	1481	599
712	1483	597
713	1485	595
714	1487	592
715	1489	590
716	1490	588
717	1492	586
718	1494	584
719	1497	582
720	1499	580
721	1501	578
722	1503	576
723	1505	573
724	1507	571
725	1509	569
726	1512	567
727	1513	565
728	1515	563
729	1517	561
730	1519	558
731	1520	556
732	1522	554
733	1525	552
734	1527	550
735	1529	548
736	1530	546
737	1532	544
738	1534	541
739	1535	539
740	1538	537
741	1540	535
742	1542	533
743	1544	531
744	1546	529
745	1547	526
746	1549	524
747	1551	522
748	1553	520
749	1556	518
750	1558	516
751	1559	514
752	1561	512
753	1563	510
754	1564	507
755	1567	505
756	1569	503
757	1571	501
758	1573	499
759	1575	497
760	1576	495
761	1578	492
762	1580	490
763	1582	488
764	1585	486
765	1587	484
766	1588	482
767	1590	480
768	1593	478
769	1596	477
770	1599	475
771	1601	473
772	1603	470
773	1605	468
774	1606	466
775	1608	464
776	1611	462
777	1613	460
778	1615	458
779	1617	456
780	1618	453
781	1621	451
782	1622	449
783	1625	447
784	1627	445
785	1629	443
786	1631	441
787	1632	439
788	1634	437
789	1636	435
790	1638	432
791	1641	430
792	1643	428
793	1644	426
794	1646	424
795	1648	422
796	1650	420
797	1652	418
798	1654	416
799	1657	414
800	1658	412
801	1660	409
802	1662	407
803	1664	405
804	1665	403
805	1667	401
806	1669	399
807	1671	397
808	1673	395
809	1675	393
810	1677	390
811	1679	388
812	1680	386
813	1683	384
814	1685	382
815	1688	380
816	1690	378
817	1692	376
818	1694	374
819	1696	372
820	1698	370
821	1700	368
822	1702	366
823	1704	364
824	1706	361
